"Schwierigkeitsgrad";"Wie anspruchsvoll soll das Spiel sein?"
"Länge";"Wie lange soll das Spiel dauern?"
"Sprachliche Anforderungen";"Wie viel Text darf das Spiel enthalten? Muss es auch für Nicht-Muttersprachler:innen spielbar sein?"
"Konflikt";"Wie konflikthaft soll die Interaktion zwischen den Spieler:innen sein? Friedliches Miteinander oder direktes Gegeneinander?"
"Kooperativ vs. kompetetiv";"Auf welche Art von Spiel habt ihr Lust:<br><ul><li>Kooperativ: Alle gemeinsam gegen das Spiel</li><li>Semi-kooperativ / Team-based: In Teams gegeneinander bzw. eine:r gegen alle</li><li>Kompetetiv: Alle gegen alle</li></ul>"
"Resource Management";"Güter erzeugen, verwalten, handeln und ausgeben<br><small>z. B. Siedler von Catan, 7 Wonders, Terraforming Mars</small>"
"Area Control";"Gebiete auf dem Spielfeld kontrollieren und erweitern<br><small>z. B. Risiko, Terraforming Mars</small>"
"Kreativität";"Assoziationen bilden (z.&nbsp;B. zwischen Wörtern oder Bildern) oder etwas malen bzw. pantomimisch darstellen<br><small>z. B. Dixit, Codenames, Tabu, Activity</small>"
"Puzzle &amp; Pattern Building";"Geschickt Plättchen anlegen und dadurch etwas aufbauen (meist um Siegpunkte zu erlangen)<br><small>z. B. Carcasonne, Azul, Cascadia</small>"
"Deduktion";"Wie ein:e Dedektiv:in Informationen sammeln und dadurch Schlussfolgerungen ziehen<br><small>z. B. Cluedo, Werwölfe von Düsterwald, MicroMacro</small>"
"Schnelligkeit";"Möglichst schnell und geschickt sein, aber dabei keine Fehler machen<br><small>z. B. Dobble, KLASK, Exit-Spiele</small>"
"Deck Building";"Sich einen Kartenstapel zum Nachziehen zusammenstellen, indem man sich neue Karten kauft bzw. Alte entsorgt (auch als &quot;Bag Building&quot; mit Plättchen, die man aus einem Beutel zieht)<br><small>z. B. Dominion, Orleans, Quacksalber von Quedlinburg</small>"
"Worker Placement";"Die eigenen Spielfiguren auf Aktionsfelder stellen, um die entsprechenden Aktionen auszuführen und die Felder für die anderen zu blockieren<br><small>z. B. Agricola, Everdell</small>"
"Roll & Write";"Würfeln und dem Ergebnis entsprechend etwas auf dem eigenen Papier eintragen (auch als &quot;Flip&nbsp;&&nbsp;Write&quot; anstelle von Würfeln mit Karten, die aufgedeckt werden)<br><small>z. B. Kniffel, Welcome to..., Ganz schön clever</small>"
"Push your luck";"Auf Nummer sicher gehen oder doch lieber viel riskieren, um viel zu gewinnen (oder verlieren)?<br><small>z. B. Zug um Zug, Port Royal, King of Tokyo, Codenames</small>"
"Drafting";"Aufteilung von Karten (oder anderen Spielmaterialien) nicht durch Zufall, sondern indem alle abwechselnd auswählen dürfen<br><small>z. B. 7&nbsp;Wonders, Azul, Patchwork, Kingdomino</small>"